Player_Id,Player_Name,Player_fuzzy_reference_Name,Images
0,Unknown Player,Unknown Player,https://www.pngkit.com/png/full/799-7998601_profile-placeholder-person-icon.png
1,SC Ganguly,Sourav Chandidas Ganguly,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303200/303264.jpg
2,BB McCullum,Brendon Barrie McCullum,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/303600/303636.png
3,RT Ponting,Ricky Thomas Ponting,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/202600/202613.1.jpg
4,DJ Hussey,David John Hussey,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/202500/202593.1.jpg
5,Mohammad Hafeez,Mohammad Hafeez,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/302800/302841.jpg
6,R Dravid,Rahul Dravid,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319948.png"
7,W Jaffer,Wasim Jaffer,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/302500/302503.jpg
8,V Kohli,Virat Kohli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316605.png"
9,JH Kallis,Jacques Henry Kallis,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/203100/203133.1.jpg
10,CL White,Cameron Leon White,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/202600/202623.1.jpg
11,MV Boucher,Mark Verdon Boucher,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320381.png"
12,B Akhil,Balachandra Akhil,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/DB/011999/003583.gif"
